year,scenario_label,age_group,population
2025,High-growth,0–14,4743.4
2025,High-growth,15–24,4068.4
2025,High-growth,25–44,9636.2
2025,High-growth,45–64,7929.3
2025,High-growth,65–74,3384.8
2025,High-growth,75–84,1990.4
2025,Low-growth,0–14,4743.4
2025,Low-growth,15–24,4068.4
2025,Low-growth,25–44,9636.2
2025,Low-growth,45–64,7929.3
2025,Low-growth,65–74,3384.8
2025,Low-growth,75–84,1990.4
2025,Medium-growth (reference),0–14,4743.4
2025,Medium-growth (reference),15–24,4068.4
2025,Medium-growth (reference),25–44,9636.2
2025,Medium-growth (reference),45–64,7929.3
2025,Medium-growth (reference),65–74,3384.8
2025,Medium-growth (reference),75–84,1990.4
2025,Projection scenario FA: fast-aging,0–14,4743.4
2025,Projection scenario FA: fast-aging,15–24,4068.4
2025,Projection scenario FA: fast-aging,25–44,9636.2
2025,Projection scenario FA: fast-aging,45–64,7929.3
2025,Projection scenario FA: fast-aging,65–74,3384.8
2025,Projection scenario FA: fast-aging,75–84,1990.4
2025,Projection scenario M2: medium-growth,0–14,4743.4
2025,Projection scenario M2: medium-growth,15–24,4068.4
2025,Projection scenario M2: medium-growth,25–44,9636.2
2025,Projection scenario M2: medium-growth,45–64,7929.3
2025,Projection scenario M2: medium-growth,65–74,3384.8
2025,Projection scenario M2: medium-growth,75–84,1990.4
2025,Projection scenario M3: medium-growth,0–14,4743.4
2025,Projection scenario M3: medium-growth,15–24,4068.4
2025,Projection scenario M3: medium-growth,25–44,9636.2
2025,Projection scenario M3: medium-growth,45–64,7929.3
2025,Projection scenario M3: medium-growth,65–74,3384.8
2025,Projection scenario M3: medium-growth,75–84,1990.4
2025,Projection scenario M4: medium-growth,0–14,4743.4
2025,Projection scenario M4: medium-growth,15–24,4068.4
2025,Projection scenario M4: medium-growth,25–44,9636.2
2025,Projection scenario M4: medium-growth,45–64,7929.3
2025,Projection scenario M4: medium-growth,65–74,3384.8
2025,Projection scenario M4: medium-growth,75–84,1990.4
2025,Projection scenario M5: medium-growth,0–14,4743.4
2025,Projection scenario M5: medium-growth,15–24,4068.4
2025,Projection scenario M5: medium-growth,25–44,9636.2
2025,Projection scenario M5: medium-growth,45–64,7929.3
2025,Projection scenario M5: medium-growth,65–74,3384.8
2025,Projection scenario M5: medium-growth,75–84,1990.4
2025,Projection scenario M6: medium-growth,0–14,4743.4
2025,Projection scenario M6: medium-growth,15–24,4068.4
2025,Projection scenario M6: medium-growth,25–44,9636.2
2025,Projection scenario M6: medium-growth,45–64,7929.3
2025,Projection scenario M6: medium-growth,65–74,3384.8
2025,Projection scenario M6: medium-growth,75–84,1990.4
2025,Projection scenario SA: slow-aging,0–14,4743.4
2025,Projection scenario SA: slow-aging,15–24,4068.4
2025,Projection scenario SA: slow-aging,25–44,9636.2
2025,Projection scenario SA: slow-aging,45–64,7929.3
2025,Projection scenario SA: slow-aging,65–74,3384.8
2025,Projection scenario SA: slow-aging,75–84,1990.4
2026,High-growth,0–14,4747.6
2026,High-growth,15–24,4104.8
2026,High-growth,25–44,9632.5
2026,High-growth,45–64,7874.5
2026,High-growth,65–74,3484.4
2026,High-growth,75–84,2073.2
2026,Low-growth,0–14,4692.8
2026,Low-growth,15–24,3984.1
2026,Low-growth,25–44,9417.5
2026,Low-growth,45–64,7831.8
2026,Low-growth,65–74,3473.9
2026,Low-growth,75–84,2064.2
2026,Medium-growth (reference),0–14,4718.7
2026,Medium-growth (reference),15–24,4038.7
2026,Medium-growth (reference),25–44,9515.3
2026,Medium-growth (reference),45–64,7851.4
2026,Medium-growth (reference),65–74,3479.2
2026,Medium-growth (reference),75–84,2068.7999999999997
2026,Projection scenario FA: fast-aging,0–14,4694.2
2026,Projection scenario FA: fast-aging,15–24,3985.3
2026,Projection scenario FA: fast-aging,25–44,9422.5
2026,Projection scenario FA: fast-aging,45–64,7836.599999999999
2026,Projection scenario FA: fast-aging,65–74,3479.9
2026,Projection scenario FA: fast-aging,75–84,2072.1
2026,Projection scenario M2: medium-growth,0–14,4724.0
2026,Projection scenario M2: medium-growth,15–24,4046.8999999999996
2026,Projection scenario M2: medium-growth,25–44,9529.4
2026,Projection scenario M2: medium-growth,45–64,7857.5
2026,Projection scenario M2: medium-growth,65–74,3483.4
2026,Projection scenario M2: medium-growth,75–84,2070.7
2026,Projection scenario M3: medium-growth,0–14,4722.5
2026,Projection scenario M3: medium-growth,15–24,4044.5
2026,Projection scenario M3: medium-growth,25–44,9524.0
2026,Projection scenario M3: medium-growth,45–64,7856.8
2026,Projection scenario M3: medium-growth,65–74,3483.6
2026,Projection scenario M3: medium-growth,75–84,2071.1
2026,Projection scenario M4: medium-growth,0–14,4725.8
2026,Projection scenario M4: medium-growth,15–24,4047.2
2026,Projection scenario M4: medium-growth,25–44,9530.4
2026,Projection scenario M4: medium-growth,45–64,7859.6
2026,Projection scenario M4: medium-growth,65–74,3483.5
2026,Projection scenario M4: medium-growth,75–84,2070.7
2026,Projection scenario M5: medium-growth,0–14,4728.3
2026,Projection scenario M5: medium-growth,15–24,4047.9
2026,Projection scenario M5: medium-growth,25–44,9537.4
2026,Projection scenario M5: medium-growth,45–64,7859.1
2026,Projection scenario M5: medium-growth,65–74,3481.6
2026,Projection scenario M5: medium-growth,75–84,2069.7
2026,Projection scenario M6: medium-growth,0–14,4718.7
2026,Projection scenario M6: medium-growth,15–24,4038.7
2026,Projection scenario M6: medium-growth,25–44,9515.3
2026,Projection scenario M6: medium-growth,45–64,7851.4
2026,Projection scenario M6: medium-growth,65–74,3479.2
2026,Projection scenario M6: medium-growth,75–84,2068.7999999999997
2026,Projection scenario SA: slow-aging,0–14,4745.9
2026,Projection scenario SA: slow-aging,15–24,4103.0
2026,Projection scenario SA: slow-aging,25–44,9626.1
2026,Projection scenario SA: slow-aging,45–64,7869.2
2026,Projection scenario SA: slow-aging,65–74,3478.5
2026,Projection scenario SA: slow-aging,75–84,2065.6
2027,High-growth,0–14,4757.5
2027,High-growth,15–24,4103.2
2027,High-growth,25–44,9610.5
2027,High-growth,45–64,7821.9
2027,High-growth,65–74,3577.2
2027,High-growth,75–84,2155.8
2027,Low-growth,0–14,4643.6
