Fiscal_Year,Sex,Age_Group,ED_Visits,Median_LOS
2021–2022,All,00–04,1038994.0,162.0
2021–2022,All,05–09,431471.0,150.0
2021–2022,All,10–14,460661.0,162.0
2021–2022,All,15–19,709180.0,186.0
2021–2022,All,20–24,914580.0,192.0
2021–2022,All,25–29,991719.0,192.0
2021–2022,All,30–34,985223.0,198.00000000000003
2021–2022,All,35–39,913671.0,204.0
2021–2022,All,40–44,823576.0,210.0
2021–2022,All,45–49,767559.0,216.0
2021–2022,All,50–54,793888.0,222.0
2021–2022,All,55–59,889854.0,228.00000000000003
2021–2022,All,60–64,876189.0,234.0
2021–2022,All,65–69,784255.0,258.0
2021–2022,All,70–74,743033.0,276.00000000000006
2021–2022,All,75–79,644494.0,306.00000000000006
2021–2022,All,80–84,524592.0,342.0
2021–2022,All,85+,703067.0,414.0
2021–2022,All,Total,13997906.0,216.0
