Other consultations,0,1024,249,354,81409,376894,9715,918,1660545,32346,960,2164415
Total consultations,1481,5428,11248,19237,209528,885028,85276,30119,1928216,242072,1950,3419583
Office,6491,9576,13178,0,100002,0,1490958,176143,2041283,123799,30085,3991515
Hospital inpatient: Newborn,88,825,6426,2063,51255,26116,0,0,13969,16759,228,117729
Hospital inpatient: Other,724,1981,484,4599,464707,175522,749,6821,109612,103557,1125,869880
Hospital outpatient,2547,31,294,0,4537,302588,1633,4547,143544,75023,11442,546185
Hospital unspecified,0,7747,2148,125,12817,0,*,13,5266,51,20,28187
Unspecified,66,74,*,17698,4601872,2377913,0,253,22582,17804,17,7038278
Special eye,0,0,3536,0,0,17202,7288,0,5552,0,0,33578
Total major assessments,9916,20234,26066,24484,5235190,2899341,1500628,187776,2341808,336993,42917,12625352
Office,792671,150382,1503714,2019875,81448,60116,3067408,2536839,11429082,3701913,49367,25392814
Hospital inpatient,848,4844,5070,7594,2137898,2621050,47271,19597,385413,1644879,1415,6875881
Hospital outpatient,61362,665,6733,79644,3371195,844307,5568,28818,737194,245848,17,5381349
Hospital unspecified,0,0,14143,0,87559,0,25642,454,109302,480,374,237954
Unspecified location,883100,1378,45,37092,9616427,22887363,15,10530,117259,734367,63,34287638
Special calls — Add,0,2700,35376,14805,0,439497,0,18973,0,0,0,511351
Detention,545,4821,355,18257,84907,3926,6072,4048,360912,10887,1368,496098
Total other assessments,1738527,164790,1565436,2177266,15379434,26856259,3151976,2619258,13139162,6338374,52604,73183085
Up to 28/30/31 or 35/42 days,20761,18329,17738,27082,0,2983316,430079,92962,1058261,1123,*,4649651
More than 28/30/31 or 35/42,18283,5903,7704,21927,0,492250,0,14496,0,0,0,560563
Other,3359,2194,6922,3432,26,39301,96649,113702,57568,138026,6284,467463
Total hospital care days,42402,26426,32364,52441,26,3514867,526728,221160,1115829,139149,6284,5677676
Out-of-hours/emergency,31041,2116,1764,3230,11656,1912086,56504,23354,883968,844766,19725,3790210
Other regular hours,46823,370,65609,10150,163728,804784,0,631,450914,326174,446,1869629
Total special calls,77864,2486,67373,13380,175384,2716870,56504,23985,1334882,1170940,20171,5659839
Individual psychotherapy,20504,9308,10228,60274,19552,1663637,95271,17452,1176327,6751,3204,3082507
Group/family psychotherapy,101,*,178,0,260,55754,69,208,366049,24907,0,447527
Counselling,1747,8666,8346,5510,270782,2565500,58487,75777,1253606,199755,9389,4457567
Total psychotherapy/counselling,22352,17974,18753,65784,290594,4284892,153828,93436,2795982,231414,12592,7987601
Total consultations and visits,1892541,237338,1721240,2352592,21290156,41157256,5474940,3175735,22655879,8458941,136518,108553136
Mastectomy and breast surgery,0,0,0,0,*,*,53,*,*,*,0,53
Breast tumour excision/biopsy,0,0,0,0,*,32,13,0,201,*,0,246
Other integumentary system,5517,0,452,0,4248,14539,3850,828,7620,3482,13,40549
Fractures,28,*,41,*,7386,10733,374,217,13610,6070,94,38553
Disc surgery,0,0,0,89,5,156,0,0,0,*,0,250
Arthroplasty — Hip,0,0,*,0,*,*,0,8,0,0,0,8
Arthroplasty — Knee,0,0,0,0,*,0,0,0,0,0,0,0
Other musculoskeletal system,11,*,21,*,1152,926,2134,186,565,1510,*,6505
Sub-mucous resection,0,*,0,0,0,*,0,*,*,0,0,0
Rhinoplasty,0,0,0,0,0,0,0,0,*,0,0,0
Other respiratory system,0,7,26,*,171,35,*,14,34,657,*,944
Coronary artery bypass/repair,0,0,0,0,0,*,98,0,0,0,0,98
Coronary angioplasty,0,0,0,0,0,*,0,0,0,0,0,0
Cardiac electrophysiology,0,17,0,0,18,56,*,0,7,5,0,103
Other heart/pericardium,0,0,0,0,*,12,158,*,*,*,0,170
Varicose veins/vein repair,0,0,0,0,*,*,4043,*,602,11,0,4656
Carotid endarterectomy,0,0,0,0,0,0,14,0,0,0,0,14
Other cardiovascular,0,0,0,555,6,34,26,0,159,*,*,780
Appendectomy,0,19,0,0,*,*,9,15,118,5,0,166
Laparotomy,0,*,0,0,0,7,*,0,*,0,0,7
Gallbladder and biliary tract,0,11,0,0,*,21,38,6,151,0,0,227
Tonsillectomy,0,*,15,0,0,0,7,12,29,30,0,93
Hernias,0,*,*,0,33,1851,112,45,321,62,0,2424
Colon and intestines (colectomy),0,6,0,0,15,501,12,*,8,*,0,542
Rectum/proctotomy/anus and hemorrhoidectomy,0,*,22,0,34,31,23,25,155,18,0,308
Other digestive,*,11,34,*,26,39,31,5,129,38,0,313
Urinary system,0,440,0,0,7,5,177,11,120,38,0,798
Prostate surgery (male),0,103,0,0,0,0,27,0,*,*,0,130
Vasectomy (male),0,34,785,911,12979,10512,2364,821,8365,3108,0,39879
Other male genital system,0,78,0,0,44,46,1368,17,117,31,0,1701
Prolapse in female genital system,0,0,0,0,0,*,11,0,71,0,0,82
Hysterectomy (female),0,0,0,0,0,*,133,*,122,0,0,255
Sterilization (female),0,0,0,0,*,*,42,23,215,15,0,295
Other female genital system,*,16,*,0,34,15,249,7,861,58,0,1240
Cataract surgery,0,785,0,0,*,5,0,5,379,0,0,1174
Other eye,0,256,25,0,41,1260,104,325,448,59,14,2532
Tympanoplasty,0,0,*,0,0,0,0,0,0,0,0,0
Other ear,0,0,0,0,*,83,0,*,166,*,0,249
Other major surgery,*,0,*,0,155,11846,228,183,204,246,*,12862
Total major surgery,5556,1783,1421,1555,26354,52745,15698,2753,34777,15443,121,158206
"Incision, abscess, etc.",731,45,517,266,46793,52545,4166,2492,21652,11322,244,140773
Removal of foreign body,220,51,150,34,14092,17745,2346,1707,11226,111,26,47708
"Excision, tumour, etc.",22101,1090,2035,1303,40577,21567,33176,10223,95355,24544,665,252636
Suture wound,537,13,231,144,65546,80390,7512,18057,46603,50603,760,270396
Excision of nail,333,27,306,767,4898,4349,1176,1068,5327,1729,66,20046
Chalazion,*,0,12,*,10,19,63,10,68,*,0,182
Myringotomy,0,0,74,0,*,*,0,*,583,42,0,699
Minor fractures,54,10,5,*,5791,49090,371,58,8800,3999,25,68203
Other minor surgery,464,6,*,55,10652,33469,8976,1627,23638,10027,8,88922
Total minor surgery,24440,1242,3330,2569,188359,259174,57786,35242,213252,102377,1794,889565
Surgical assistance,35668,4099,17912,15716,4248,296569,15059,33304,87710,139470,521,650275
Nerve blocks,7,**,**,**,**,**,3431,2050,**,67819,**,73307
Other anesthesia,0,**,**,**,**,**,105275,15680,**,57009,**,177964
Total anesthesia,7,**,**,**,**,**,108706,17730,**,124828,**,251271
Service at delivery,147,174,6,596,30551,9320,2663,467,23440,12200,234,79798
Delivery (excluding Caesarean section),291,287,3297,1093,26692,6428,2069,2274,10336,12819,202,65788
Caesarean section,0,89,0,15,129,335,399,132,870,374,0,2343
Therapeutic abortion,868,71,884,10,14939,12735,826,443,1291,3448,86,35601
Other obstetrical services,349,232,780,300,49111,33013,1063,979,31935,7216,61,125039
Total obstetrical services,1655,853,4967,2014,121422,61831,7020,4295,67872,36057,583,308569
ICU/resuscitation,22,304,38,293,90822,230660,45,430,277483,9469,1495,611061
Allergy/hyposensitization,1679,52,1187,26182,9038,48442,6170,4546,18013,6552,151,122012
Injection/aspiration of joint,23226,2766,21392,13488,223169,661562,43450,16114,55316,24506,607,1085596
Electrocardiogram,1080,3051,0,0,14502,200528,90329,81093,77331,6350,2698,476962
Esophagoscopy/gastroscopy,0,11,*,0,82,2000,1910,569,2101,776,0,7449
Laryngoscopy/bronchoscopy,0,47,0,0,1110,1200,*,6,624,65,*,3052
Colonoscopy,0,0,0,0,165,5433,3494,940,4044,1537,0,15613
Cystoscopy,0,2332,0,0,8,15,414,*,188,*,0,2957
