1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ID,provider,registration_location_code,data_year,Number of Physicians,female,male ,unk_sex,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,<25,age_unk,Canadian grads,Interntl grads,Grad location UNK,rural,urban,geo_unk
2015All physiciansAlberta,All physicians,Alberta,2015,10019,3775,6244,0,351,1373,1397,1303,1286,1129,1110,963,553,489,1,64,6603,3346,70,735,9270,14
2015Family medicine physiciansAlberta,Family medicine physicians,Alberta,2015,5213,2175,3038,0,319,660,707,635,656,582,568,471,287,265,1,62,3032,2115,66,667,4537,9
2015SpecialistsAlberta,Specialists,Alberta,2015,4806,1600,3206,0,32,713,690,668,630,547,542,492,266,224,,2,3571,1231,4,68,4733,5
2015All physiciansBritish Columbia,All physicians,British Columbia,2015,10917,4001,6916,0,50,1067,1246,1277,1332,1538,1521,1290,942,654,,,7689,3226,2,601,10307,9
2015Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2015,5852,2387,3465,0,42,440,619,681,709,964,840,709,541,307,,,3889,1961,2,552,5295,5
2015SpecialistsBritish Columbia,Specialists,British Columbia,2015,5065,1614,3451,0,8,627,627,596,623,574,681,581,401,347,,,3800,1265,0,49,5012,4
2015All physiciansCanada,All physicians,Canada,2015,82198,32832,49365,1,,,,,,,,,,,,,60754,21057,387,6183,75955,60
2015Family medicine physiciansCanada,Family medicine physicians,Canada,2015,41551,18582,22968,1,,,,,,,,,,,,,29469,11869,213,5368,36146,37
2015SpecialistsCanada,Specialists,Canada,2015,40647,14250,26397,0,,,,,,,,,,,,,31285,9188,174,815,39809,23
2015All physiciansManitoba,All physicians,Manitoba,2015,2659,923,1735,1,11,262,323,351,368,329,368,278,185,174,,10,1732,916,11,317,2340,2
2015Family medicine physiciansManitoba,Family medicine physicians,Manitoba,2015,1386,519,866,1,10,123,155,173,219,194,202,144,77,81,,8,718,657,11,288,1096,2
2015SpecialistsManitoba,Specialists,Manitoba,2015,1273,404,869,0,1,139,168,178,149,135,166,134,108,93,,2,1014,259,0,29,1244,0
2015All physiciansNew Brunswick,All physicians,New Brunswick,2015,1674,639,1035,0,29,167,199,240,226,247,215,148,96,107,,,1255,417,2,281,1390,3
2015Family medicine physiciansNew Brunswick,Family medicine physicians,New Brunswick,2015,914,415,499,0,29,108,110,105,101,127,139,82,54,59,,,761,151,2,256,656,2
2015SpecialistsNew Brunswick,Specialists,New Brunswick,2015,760,224,536,0,,59,89,135,125,120,76,66,42,48,,,494,266,0,25,734,1
2015All physiciansNewfoundland and Labrador,All physicians,Newfoundland and Labrador,2015,1282,479,803,0,14,153,186,180,171,146,160,128,77,67,,,815,464,3,322,959,1
2015Family medicine physiciansNewfoundland and Labrador,Family medicine physicians,Newfoundland and Labrador,2015,666,266,400,0,14,83,85,110,93,57,80,65,41,38,,,412,252,2,244,421,1
2015SpecialistsNewfoundland and Labrador,Specialists,Newfoundland and Labrador,2015,616,213,403,0,,70,101,70,78,89,80,63,36,29,,,403,212,1,78,538,0
2015All physiciansNorthwest Territories,All physicians,Northwest Territories,2015,37,20,17,0,1,3,8,4,3,8,3,4,3,,,,30,7,0,8,29,0
2015Family medicine physiciansNorthwest Territories,Family medicine physicians,Northwest Territories,2015,30,19,11,0,1,2,8,3,3,7,2,1,3,,,,24,6,0,8,22,0
2015SpecialistsNorthwest Territories,Specialists,Northwest Territories,2015,7,1,6,0,,1,,1,,1,1,3,,,,,6,1,0,0,7,0
2015All physiciansNova Scotia,All physicians,Nova Scotia,2015,2465,943,1522,0,9,208,270,307,330,351,348,300,190,149,,3,1712,748,5,473,1990,2
2015Family medicine physiciansNova Scotia,Family medicine physicians,Nova Scotia,2015,1241,535,706,0,8,91,122,149,160,190,186,144,110,78,,3,865,371,5,333,907,1
2015SpecialistsNova Scotia,Specialists,Nova Scotia,2015,1224,408,816,0,1,117,148,158,170,161,162,156,80,71,,,847,377,0,140,1083,1
2015All physiciansNunavut,All physicians,Nunavut,2015,10,6,4,0,,3,1,1,1,1,1,2,,,,,9,1,0,10,0,0
2015Family medicine physiciansNunavut,Family medicine physicians,Nunavut,2015,9,5,4,0,,3,1,1,1,1,,2,,,,,8,1,0,9,0,0
2015SpecialistsNunavut,Specialists,Nunavut,2015,1,1,0,0,,,,,,,1,,,,,,1,0,0,1,0,0
2015All physiciansOntario,All physicians,Ontario,2015,30494,11694,18800,0,463,3514,3324,3555,3841,3722,3592,3445,2460,2565,,13,21792,8694,8,1317,29156,21
2015Family medicine physiciansOntario,Family medicine physicians,Ontario,2015,15077,6482,8595,0,322,1489,1670,1804,1903,2006,1824,1649,1229,1173,,8,10365,4704,8,1161,13902,14
2015SpecialistsOntario,Specialists,Ontario,2015,15417,5212,10205,0,141,2025,1654,1751,1938,1716,1768,1796,1231,1392,,5,11427,3990,0,156,15254,7
2015All physiciansPrince Edward Island,All physicians,Prince Edward Island,2015,266,85,181,0,2,19,21,32,36,25,40,40,19,20,,12,199,48,19,32,234,0
2015Family medicine physiciansPrince Edward Island,Family medicine physicians,Prince Edward Island,2015,147,57,90,0,2,9,15,18,18,15,15,22,12,10,,11,115,16,16,31,116,0
2015SpecialistsPrince Edward Island,Specialists,Prince Edward Island,2015,119,28,91,0,,10,6,14,18,10,25,18,7,10,,1,84,32,3,1,118,0
2015All physiciansQuebec,All physicians,Quebec,2015,20055,9455,10600,0,838,2517,2259,2120,2064,2558,2501,2185,1471,1294,,248,17805,1989,261,1775,18274,6
2015Family medicine physiciansQuebec,Family medicine physicians,Quebec,2015,9703,5216,4487,0,771,1024,908,901,941,1330,1333,1245,720,450,,80,8769,838,96,1511,8189,3
2015SpecialistsQuebec,Specialists,Quebec,2015,10352,4239,6113,0,67,1493,1351,1219,1123,1228,1168,940,751,844,,168,9036,1151,165,264,10085,3
2015All physiciansSaskatchewan,All physicians,Saskatchewan,2015,2241,773,1468,0,41,300,345,293,283,300,225,183,125,141,,5,1055,1181,5,302,1937,2
2015Family medicine physiciansSaskatchewan,Family medicine physicians,Saskatchewan,2015,1245,472,773,0,36,159,195,159,154,161,115,102,77,83,,4,462,779,4,298,947,0
2015SpecialistsSaskatchewan,Specialists,Saskatchewan,2015,996,301,695,0,5,141,150,134,129,139,110,81,48,58,,1,593,402,1,4,990,2
2015All physiciansYukon,All physicians,Yukon,2015,79,39,40,0,2,12,12,8,12,7,9,5,8,2,,2,58,20,1,10,69,0
2015Family medicine physiciansYukon,Family medicine physicians,Yukon,2015,68,34,34,0,2,10,11,7,9,7,8,5,5,2,,2,49,18,1,10,58,0
2015SpecialistsYukon,Specialists,Yukon,2015,11,5,6,0,,2,1,1,3,,1,,3,,,,9,2,0,0,11,0
2016All physiciansAlberta,All physicians,Alberta,2016,10294,3944,6350,0,301,1442,1481,1370,1321,1160,1094,989,606,516,1,13,6756,3526,12,754,9525,15
2016Family medicine physiciansAlberta,Family medicine physicians,Alberta,2016,5320,2245,3075,0,275,674,745,702,672,614,558,484,309,273,1,13,3024,2285,11,692,4619,9
2016SpecialistsAlberta,Specialists,Alberta,2016,4974,1699,3275,0,26,768,736,668,649,546,536,505,297,243,,,3732,1241,1,62,4906,6
2016All physiciansBritish Columbia,All physicians,British Columbia,2016,11547,4366,7181,0,147,1361,1457,1364,1340,1525,1513,1283,907,650,,,8146,3400,1,644,10894,9
2016Family medicine physiciansBritish Columbia,Family medicine physicians,British Columbia,2016,6189,2572,3617,0,127,555,734,713,711,947,859,698,521,324,,,4082,2106,1,591,5595,3
2016SpecialistsBritish Columbia,Specialists,British Columbia,2016,5358,1794,3564,0,20,806,723,651,629,578,654,585,386,326,,,4064,1294,0,53,5299,6
2016All physiciansCanada,All physicians,Canada,2016,84063,34221,49842,0,,,,,,,,,,,,,61981,21746,336,6216,77753,94
