lhin,specialty,physicians_count,population,physicians_per_100k,latitude,longitude
Erie St. Clair,Family Medicine,536.4,650000,82.53,42.32,-82.55
Erie St. Clair,Addiction Medicine,8.1,650000,1.24,42.32,-82.55
Erie St. Clair,Allergy and Clinical Immunology,6.4,650000,0.98,42.32,-82.55
Erie St. Clair,Anesthesia,68.8,650000,10.59,42.32,-82.55
Erie St. Clair,Cardiac Surgery,3.2,650000,0.5,42.32,-82.55
Erie St. Clair,Cardiology,26.7,650000,4.11,42.32,-82.55
Erie St. Clair,Chronic Pain,13.0,650000,2.0,42.32,-82.55
Erie St. Clair,Critical Care Medicine,12.9,650000,1.99,42.32,-82.55
Erie St. Clair,Dermatology,10.2,650000,1.57,42.32,-82.55
Erie St. Clair,Diagnostic and Interventional Radiology,41.0,650000,6.31,42.32,-82.55
Erie St. Clair,Emergency Medicine,73.1,650000,11.25,42.32,-82.55
Erie St. Clair,Endocrinology,12.5,650000,1.92,42.32,-82.55
Erie St. Clair,Gastroenterology,15.5,650000,2.38,42.32,-82.55
Erie St. Clair,General Internal Medicine,39.2,650000,6.03,42.32,-82.55
Erie St. Clair,General Surgery,31.8,650000,4.9,42.32,-82.55
Erie St. Clair,General Thoracic Surgery,23.5,650000,3.62,42.32,-82.55
Erie St. Clair,Genetics Medicine,2.4,650000,0.37,42.32,-82.55
Erie St. Clair,Geriatric Medicine,6.1,650000,0.94,42.32,-82.55
Erie St. Clair,Hematology and Medical Oncology,19.9,650000,3.07,42.32,-82.55
Erie St. Clair,Hospital Medicine,16.7,650000,2.56,42.32,-82.55
Erie St. Clair,Infectious Diseases,7.7,650000,1.18,42.32,-82.55
Erie St. Clair,Laboratory Medicine,26.0,650000,4.01,42.32,-82.55
Erie St. Clair,Long-term Care,4.2,650000,0.64,42.32,-82.55
Erie St. Clair,Nephrology,11.6,650000,1.79,42.32,-82.55
Erie St. Clair,Neurology,19.8,650000,3.04,42.32,-82.55
Erie St. Clair,Neuroradiology,3.8,650000,0.58,42.32,-82.55
Erie St. Clair,Neurosurgery,3.6,650000,0.56,42.32,-82.55
Erie St. Clair,Nuclear Medicine,2.8,650000,0.42,42.32,-82.55
Erie St. Clair,Obstetrics and Gynecology,35.5,650000,5.46,42.32,-82.55
Erie St. Clair,Occupational and Environmental Medicine,3.3,650000,0.5,42.32,-82.55
Erie St. Clair,Ophthalmology,19.0,650000,2.92,42.32,-82.55
Erie St. Clair,Orthopedic Surgery,28.5,650000,4.38,42.32,-82.55
Erie St. Clair,Otolaryngology,12.4,650000,1.9,42.32,-82.55
Erie St. Clair,Palliative Medicine,11.2,650000,1.73,42.32,-82.55
Erie St. Clair,Pediatrics,62.0,650000,9.54,42.32,-82.55
Erie St. Clair,Physical Medicine and Rehabilitation,10.2,650000,1.57,42.32,-82.55
Erie St. Clair,Plastic Surgery,10.2,650000,1.57,42.32,-82.55
Erie St. Clair,Primary Care Mental Health,8.8,650000,1.36,42.32,-82.55
Erie St. Clair,Psychiatry,92.4,650000,14.22,42.32,-82.55
Erie St. Clair,Public Health Physicians,5.9,650000,0.9,42.32,-82.55
Erie St. Clair,Radiation Oncology,9.4,650000,1.44,42.32,-82.55
Erie St. Clair,Reproductive Biology,2.7,650000,0.42,42.32,-82.55
Erie St. Clair,Respiratory Disease (Respirology),13.4,650000,2.06,42.32,-82.55
Erie St. Clair,Rheumatology,10.6,650000,1.64,42.32,-82.55
Erie St. Clair,Sport and Exercise Medicine,7.3,650000,1.12,42.32,-82.55
Erie St. Clair,Urology,11.8,650000,1.82,42.32,-82.55
Erie St. Clair,Vascular Surgery,4.2,650000,0.65,42.32,-82.55
South West,Family Medicine,779.9,945000,82.53,42.98,-81.25
South West,Addiction Medicine,11.7,945000,1.24,42.98,-81.25
South West,Allergy and Clinical Immunology,9.3,945000,0.98,42.98,-81.25
South West,Anesthesia,100.0,945000,10.59,42.98,-81.25
South West,Cardiac Surgery,4.7,945000,0.5,42.98,-81.25
South West,Cardiology,38.9,945000,4.11,42.98,-81.25
South West,Chronic Pain,18.9,945000,2.0,42.98,-81.25
South West,Critical Care Medicine,18.8,945000,1.99,42.98,-81.25
South West,Dermatology,14.8,945000,1.57,42.98,-81.25
South West,Diagnostic and Interventional Radiology,59.7,945000,6.31,42.98,-81.25
South West,Emergency Medicine,106.3,945000,11.25,42.98,-81.25
South West,Endocrinology,18.1,945000,1.92,42.98,-81.25
South West,Gastroenterology,22.5,945000,2.38,42.98,-81.25
South West,General Internal Medicine,56.9,945000,6.03,42.98,-81.25
South West,General Surgery,46.3,945000,4.9,42.98,-81.25
South West,General Thoracic Surgery,34.2,945000,3.62,42.98,-81.25
South West,Genetics Medicine,3.5,945000,0.37,42.98,-81.25
South West,Geriatric Medicine,8.9,945000,0.94,42.98,-81.25
South West,Hematology and Medical Oncology,29.0,945000,3.07,42.98,-81.25
South West,Hospital Medicine,24.2,945000,2.56,42.98,-81.25
South West,Infectious Diseases,11.2,945000,1.18,42.98,-81.25
South West,Laboratory Medicine,37.9,945000,4.01,42.98,-81.25
South West,Long-term Care,6.0,945000,0.64,42.98,-81.25
South West,Nephrology,16.9,945000,1.79,42.98,-81.25
South West,Neurology,28.8,945000,3.04,42.98,-81.25
South West,Neuroradiology,5.5,945000,0.58,42.98,-81.25
South West,Neurosurgery,5.3,945000,0.56,42.98,-81.25
South West,Nuclear Medicine,4.0,945000,0.42,42.98,-81.25
South West,Obstetrics and Gynecology,51.6,945000,5.46,42.98,-81.25
South West,Occupational and Environmental Medicine,4.8,945000,0.5,42.98,-81.25
South West,Ophthalmology,27.6,945000,2.92,42.98,-81.25
South West,Orthopedic Surgery,41.4,945000,4.38,42.98,-81.25
South West,Otolaryngology,18.0,945000,1.9,42.98,-81.25
South West,Palliative Medicine,16.4,945000,1.73,42.98,-81.25
South West,Pediatrics,90.1,945000,9.54,42.98,-81.25
South West,Physical Medicine and Rehabilitation,14.9,945000,1.57,42.98,-81.25
South West,Plastic Surgery,14.9,945000,1.57,42.98,-81.25
South West,Primary Care Mental Health,12.8,945000,1.36,42.98,-81.25
South West,Psychiatry,134.4,945000,14.22,42.98,-81.25
South West,Public Health Physicians,8.6,945000,0.9,42.98,-81.25
South West,Radiation Oncology,13.6,945000,1.44,42.98,-81.25
South West,Reproductive Biology,3.9,945000,0.42,42.98,-81.25
South West,Respiratory Disease (Respirology),19.5,945000,2.06,42.98,-81.25
South West,Rheumatology,15.5,945000,1.64,42.98,-81.25
South West,Sport and Exercise Medicine,10.6,945000,1.12,42.98,-81.25
South West,Urology,17.2,945000,1.82,42.98,-81.25
South West,Vascular Surgery,6.1,945000,0.65,42.98,-81.25
Waterloo Wellington,Family Medicine,643.7,780000,82.53,43.45,-80.49
Waterloo Wellington,Addiction Medicine,9.7,780000,1.24,43.45,-80.49
Waterloo Wellington,Allergy and Clinical Immunology,7.7,780000,0.98,43.45,-80.49
Waterloo Wellington,Anesthesia,82.6,780000,10.59,43.45,-80.49
Waterloo Wellington,Cardiac Surgery,3.9,780000,0.5,43.45,-80.49
Waterloo Wellington,Cardiology,32.1,780000,4.11,43.45,-80.49
Waterloo Wellington,Chronic Pain,15.6,780000,2.0,43.45,-80.49
Waterloo Wellington,Critical Care Medicine,15.5,780000,1.99,43.45,-80.49
Waterloo Wellington,Dermatology,12.2,780000,1.57,43.45,-80.49
Waterloo Wellington,Diagnostic and Interventional Radiology,49.2,780000,6.31,43.45,-80.49
Waterloo Wellington,Emergency Medicine,87.8,780000,11.25,43.45,-80.49
Waterloo Wellington,Endocrinology,15.0,780000,1.92,43.45,-80.49
Waterloo Wellington,Gastroenterology,18.6,780000,2.38,43.45,-80.49
Waterloo Wellington,General Internal Medicine,47.0,780000,6.03,43.45,-80.49
Waterloo Wellington,General Surgery,38.2,780000,4.9,43.45,-80.49
Waterloo Wellington,General Thoracic Surgery,28.2,780000,3.62,43.45,-80.49
Waterloo Wellington,Genetics Medicine,2.9,780000,0.37,43.45,-80.49
Waterloo Wellington,Geriatric Medicine,7.3,780000,0.94,43.45,-80.49
Waterloo Wellington,Hematology and Medical Oncology,23.9,780000,3.07,43.45,-80.49
Waterloo Wellington,Hospital Medicine,20.0,780000,2.56,43.45,-80.49
Waterloo Wellington,Infectious Diseases,9.2,780000,1.18,43.45,-80.49
Waterloo Wellington,Laboratory Medicine,31.3,780000,4.01,43.45,-80.49
Waterloo Wellington,Long-term Care,5.0,780000,0.64,43.45,-80.49
Waterloo Wellington,Nephrology,13.9,780000,1.79,43.45,-80.49
Waterloo Wellington,Neurology,23.8,780000,3.04,43.45,-80.49
Waterloo Wellington,Neuroradiology,4.5,780000,0.58,43.45,-80.49
Waterloo Wellington,Neurosurgery,4.4,780000,0.56,43.45,-80.49
Waterloo Wellington,Nuclear Medicine,3.3,780000,0.42,43.45,-80.49
Waterloo Wellington,Obstetrics and Gynecology,42.6,780000,5.46,43.45,-80.49
Waterloo Wellington,Occupational and Environmental Medicine,3.9,780000,0.5,43.45,-80.49
Waterloo Wellington,Ophthalmology,22.7,780000,2.92,43.45,-80.49
Waterloo Wellington,Orthopedic Surgery,34.2,780000,4.38,43.45,-80.49
Waterloo Wellington,Otolaryngology,14.8,780000,1.9,43.45,-80.49
Waterloo Wellington,Palliative Medicine,13.5,780000,1.73,43.45,-80.49
Waterloo Wellington,Pediatrics,74.4,780000,9.54,43.45,-80.49
Waterloo Wellington,Physical Medicine and Rehabilitation,12.3,780000,1.57,43.45,-80.49
Waterloo Wellington,Plastic Surgery,12.3,780000,1.57,43.45,-80.49
Waterloo Wellington,Primary Care Mental Health,10.6,780000,1.36,43.45,-80.49
Waterloo Wellington,Psychiatry,110.9,780000,14.22,43.45,-80.49
Waterloo Wellington,Public Health Physicians,7.1,780000,0.9,43.45,-80.49
Waterloo Wellington,Radiation Oncology,11.3,780000,1.44,43.45,-80.49
Waterloo Wellington,Reproductive Biology,3.2,780000,0.42,43.45,-80.49
