1,2,3,4,5,6,7,8,9,10,11
ID,Year,Province/Territory,Type of provider,Supply: number of providers,Supply: inflow,Supply: outflow ,Supply: renewal,Workforce: number of providers,Inflow %,Outflow%
2015AlbertaAll physicians,2015,Alberta,All physicians,10019,—,—,—,—,—,—
2015British ColumbiaAll physicians,2015,British Columbia,All physicians,10917,—,—,—,—,—,—
2015ManitobaAll physicians,2015,Manitoba,All physicians,2659,—,—,—,—,—,—
2015New BrunswickAll physicians,2015,New Brunswick,All physicians,1674,—,—,—,—,—,—
2015Newfoundland and LabradorAll physicians,2015,Newfoundland and Labrador,All physicians,1282,—,—,—,—,—,—
2015Northwest TerritoriesAll physicians,2015,Northwest Territories,All physicians,37,—,—,—,—,—,—
2015Nova ScotiaAll physicians,2015,Nova Scotia,All physicians,2465,—,—,—,—,—,—
2015NunavutAll physicians,2015,Nunavut,All physicians,10,—,—,—,—,—,—
2015OntarioAll physicians,2015,Ontario,All physicians,30494,—,—,—,—,—,—
2015Prince Edward IslandAll physicians,2015,Prince Edward Island,All physicians,266,—,—,—,—,—,—
2015Provinces/territories with available dataAll physicians,2015,Provinces/territories with available data,All physicians,82198,—,—,—,—,—,—
2015QuebecAll physicians,2015,Quebec,All physicians,20055,—,—,—,—,—,—
2015SaskatchewanAll physicians,2015,Saskatchewan,All physicians,2241,—,—,—,—,—,—
2015YukonAll physicians,2015,Yukon,All physicians,79,—,—,—,—,—,—
2015AlbertaFamily medicine physicians,2015,Alberta,Family medicine physicians,5213,—,—,—,—,—,—
2015British ColumbiaFamily medicine physicians,2015,British Columbia,Family medicine physicians,5852,—,—,—,—,—,—
2015ManitobaFamily medicine physicians,2015,Manitoba,Family medicine physicians,1386,—,—,—,—,—,—
2015New BrunswickFamily medicine physicians,2015,New Brunswick,Family medicine physicians,914,—,—,—,—,—,—
2015Newfoundland and LabradorFamily medicine physicians,2015,Newfoundland and Labrador,Family medicine physicians,666,—,—,—,—,—,—
2015Northwest TerritoriesFamily medicine physicians,2015,Northwest Territories,Family medicine physicians,30,—,—,—,—,—,—
2015Nova ScotiaFamily medicine physicians,2015,Nova Scotia,Family medicine physicians,1241,—,—,—,—,—,—
2015NunavutFamily medicine physicians,2015,Nunavut,Family medicine physicians,9,—,—,—,—,—,—
2015OntarioFamily medicine physicians,2015,Ontario,Family medicine physicians,15077,—,—,—,—,—,—
2015Prince Edward IslandFamily medicine physicians,2015,Prince Edward Island,Family medicine physicians,147,—,—,—,—,—,—
2015Provinces/territories with available dataFamily medicine physicians,2015,Provinces/territories with available data,Family medicine physicians,41551,—,—,—,—,—,—
2015QuebecFamily medicine physicians,2015,Quebec,Family medicine physicians,9703,—,—,—,—,—,—
2015SaskatchewanFamily medicine physicians,2015,Saskatchewan,Family medicine physicians,1245,—,—,—,—,—,—
2015YukonFamily medicine physicians,2015,Yukon,Family medicine physicians,68,—,—,—,—,—,—
2015AlbertaSpecialists,2015,Alberta,Specialists,4806,—,—,—,—,—,—
2015British ColumbiaSpecialists,2015,British Columbia,Specialists,5065,—,—,—,—,—,—
2015ManitobaSpecialists,2015,Manitoba,Specialists,1273,—,—,—,—,—,—
2015New BrunswickSpecialists,2015,New Brunswick,Specialists,760,—,—,—,—,—,—
2015Newfoundland and LabradorSpecialists,2015,Newfoundland and Labrador,Specialists,616,—,—,—,—,—,—
2015Northwest TerritoriesSpecialists,2015,Northwest Territories,Specialists,7,—,—,—,—,—,—
2015Nova ScotiaSpecialists,2015,Nova Scotia,Specialists,1224,—,—,—,—,—,—
2015NunavutSpecialists,2015,Nunavut,Specialists,1,—,—,—,—,—,—
2015OntarioSpecialists,2015,Ontario,Specialists,15417,—,—,—,—,—,—
2015Prince Edward IslandSpecialists,2015,Prince Edward Island,Specialists,119,—,—,—,—,—,—
2015Provinces/territories with available dataSpecialists,2015,Provinces/territories with available data,Specialists,40647,—,—,—,—,—,—
2015QuebecSpecialists,2015,Quebec,Specialists,10352,—,—,—,—,—,—
2015SaskatchewanSpecialists,2015,Saskatchewan,Specialists,996,—,—,—,—,—,—
2015YukonSpecialists,2015,Yukon,Specialists,11,—,—,—,—,—,—
2016AlbertaAll physicians,2016,Alberta,All physicians,10294,—,—,—,—,—,—
2016British ColumbiaAll physicians,2016,British Columbia,All physicians,11547,—,—,—,—,—,—
2016ManitobaAll physicians,2016,Manitoba,All physicians,2748,—,—,—,—,—,—
2016New BrunswickAll physicians,2016,New Brunswick,All physicians,1735,—,—,—,—,—,—
2016Newfoundland and LabradorAll physicians,2016,Newfoundland and Labrador,All physicians,1315,—,—,—,—,—,—
2016Northwest TerritoriesAll physicians,2016,Northwest Territories,All physicians,33,—,—,—,—,—,—
2016Nova ScotiaAll physicians,2016,Nova Scotia,All physicians,2457,—,—,—,—,—,—
2016NunavutAll physicians,2016,Nunavut,All physicians,8,—,—,—,—,—,—
2016OntarioAll physicians,2016,Ontario,All physicians,31017,—,—,—,—,—,—
2016Prince Edward IslandAll physicians,2016,Prince Edward Island,All physicians,279,—,—,—,—,—,—
2016Provinces/territories with available dataAll physicians,2016,Provinces/territories with available data,All physicians,84063,—,—,—,—,—,—
2016QuebecAll physicians,2016,Quebec,All physicians,20270,—,—,—,—,—,—
2016SaskatchewanAll physicians,2016,Saskatchewan,All physicians,2282,—,—,—,—,—,—
2016YukonAll physicians,2016,Yukon,All physicians,78,—,—,—,—,—,—
2016AlbertaFamily medicine physicians,2016,Alberta,Family medicine physicians,5320,—,—,—,—,—,—
2016British ColumbiaFamily medicine physicians,2016,British Columbia,Family medicine physicians,6189,—,—,—,—,—,—
2016ManitobaFamily medicine physicians,2016,Manitoba,Family medicine physicians,1423,—,—,—,—,—,—
2016New BrunswickFamily medicine physicians,2016,New Brunswick,Family medicine physicians,960,—,—,—,—,—,—
2016Newfoundland and LabradorFamily medicine physicians,2016,Newfoundland and Labrador,Family medicine physicians,682,—,—,—,—,—,—
2016Northwest TerritoriesFamily medicine physicians,2016,Northwest Territories,Family medicine physicians,25,—,—,—,—,—,—
2016Nova ScotiaFamily medicine physicians,2016,Nova Scotia,Family medicine physicians,1215,—,—,—,—,—,—
2016NunavutFamily medicine physicians,2016,Nunavut,Family medicine physicians,7,—,—,—,—,—,—
2016OntarioFamily medicine physicians,2016,Ontario,Family medicine physicians,15417,—,—,—,—,—,—
2016Prince Edward IslandFamily medicine physicians,2016,Prince Edward Island,Family medicine physicians,152,—,—,—,—,—,—
2016Provinces/territories with available dataFamily medicine physicians,2016,Provinces/territories with available data,Family medicine physicians,42522,—,—,—,—,—,—
2016QuebecFamily medicine physicians,2016,Quebec,Family medicine physicians,9823,—,—,—,—,—,—
2016SaskatchewanFamily medicine physicians,2016,Saskatchewan,Family medicine physicians,1241,—,—,—,—,—,—
2016YukonFamily medicine physicians,2016,Yukon,Family medicine physicians,68,—,—,—,—,—,—
2016AlbertaSpecialists,2016,Alberta,Specialists,4974,—,—,—,—,—,—
2016British ColumbiaSpecialists,2016,British Columbia,Specialists,5358,—,—,—,—,—,—
2016ManitobaSpecialists,2016,Manitoba,Specialists,1325,—,—,—,—,—,—
2016New BrunswickSpecialists,2016,New Brunswick,Specialists,775,—,—,—,—,—,—
2016Newfoundland and LabradorSpecialists,2016,Newfoundland and Labrador,Specialists,633,—,—,—,—,—,—
2016Northwest TerritoriesSpecialists,2016,Northwest Territories,Specialists,8,—,—,—,—,—,—
2016Nova ScotiaSpecialists,2016,Nova Scotia,Specialists,1242,—,—,—,—,—,—
2016NunavutSpecialists,2016,Nunavut,Specialists,1,—,—,—,—,—,—
2016OntarioSpecialists,2016,Ontario,Specialists,15600,—,—,—,—,—,—
2016Prince Edward IslandSpecialists,2016,Prince Edward Island,Specialists,127,—,—,—,—,—,—
2016Provinces/territories with available dataSpecialists,2016,Provinces/territories with available data,Specialists,41541,—,—,—,—,—,—
2016QuebecSpecialists,2016,Quebec,Specialists,10447,—,—,—,—,—,—
2016SaskatchewanSpecialists,2016,Saskatchewan,Specialists,1041,—,—,—,—,—,—
2016YukonSpecialists,2016,Yukon,Specialists,10,—,—,—,—,—,—
2017AlbertaAll physicians,2017,Alberta,All physicians,10680,—,—,—,—,—,—
2017British ColumbiaAll physicians,2017,British Columbia,All physicians,11803,—,—,—,—,—,—
2017ManitobaAll physicians,2017,Manitoba,All physicians,2833,—,—,—,—,—,—
2017New BrunswickAll physicians,2017,New Brunswick,All physicians,1797,—,—,—,—,—,—
2017Newfoundland and LabradorAll physicians,2017,Newfoundland and Labrador,All physicians,1347,—,—,—,—,—,—
2017Northwest TerritoriesAll physicians,2017,Northwest Territories,All physicians,35,—,—,—,—,—,—
2017Nova ScotiaAll physicians,2017,Nova Scotia,All physicians,2455,—,—,—,—,—,—
2017NunavutAll physicians,2017,Nunavut,All physicians,8,—,—,—,—,—,—
2017OntarioAll physicians,2017,Ontario,All physicians,32055,—,—,—,—,—,—
2017Prince Edward IslandAll physicians,2017,Prince Edward Island,All physicians,289,—,—,—,—,—,—
2017Provinces/territories with available dataAll physicians,2017,Provinces/territories with available data,All physicians,86643,—,—,—,—,—,—
2017QuebecAll physicians,2017,Quebec,All physicians,20908,—,—,—,—,—,—
2017SaskatchewanAll physicians,2017,Saskatchewan,All physicians,2356,—,—,—,—,—,—
2017YukonAll physicians,2017,Yukon,All physicians,77,—,—,—,—,—,—
2017AlbertaFamily medicine physicians,2017,Alberta,Family medicine physicians,5524,—,—,—,—,—,—
2017British ColumbiaFamily medicine physicians,2017,British Columbia,Family medicine physicians,6372,—,—,—,—,—,—
2017ManitobaFamily medicine physicians,2017,Manitoba,Family medicine physicians,1481,—,—,—,—,—,—
2017New BrunswickFamily medicine physicians,2017,New Brunswick,Family medicine physicians,988,—,—,—,—,—,—
2017Newfoundland and LabradorFamily medicine physicians,2017,Newfoundland and Labrador,Family medicine physicians,728,—,—,—,—,—,—
2017Northwest TerritoriesFamily medicine physicians,2017,Northwest Territories,Family medicine physicians,27,—,—,—,—,—,—
2017Nova ScotiaFamily medicine physicians,2017,Nova Scotia,Family medicine physicians,1233,—,—,—,—,—,—
2017NunavutFamily medicine physicians,2017,Nunavut,Family medicine physicians,6,—,—,—,—,—,—
2017OntarioFamily medicine physicians,2017,Ontario,Family medicine physicians,16088,—,—,—,—,—,—
2017Prince Edward IslandFamily medicine physicians,2017,Prince Edward Island,Family medicine physicians,158,—,—,—,—,—,—
2017Provinces/territories with available dataFamily medicine physicians,2017,Provinces/territories with available data,Family medicine physicians,44191,—,—,—,—,—,—
2017QuebecFamily medicine physicians,2017,Quebec,Family medicine physicians,10200,—,—,—,—,—,—
2017SaskatchewanFamily medicine physicians,2017,Saskatchewan,Family medicine physicians,1319,—,—,—,—,—,—
2017YukonFamily medicine physicians,2017,Yukon,Family medicine physicians,67,—,—,—,—,—,—
2017AlbertaSpecialists,2017,Alberta,Specialists,5156,—,—,—,—,—,—
2017British ColumbiaSpecialists,2017,British Columbia,Specialists,5431,—,—,—,—,—,—
2017ManitobaSpecialists,2017,Manitoba,Specialists,1352,—,—,—,—,—,—
2017New BrunswickSpecialists,2017,New Brunswick,Specialists,809,—,—,—,—,—,—
2017Newfoundland and LabradorSpecialists,2017,Newfoundland and Labrador,Specialists,619,—,—,—,—,—,—
2017Northwest TerritoriesSpecialists,2017,Northwest Territories,Specialists,8,—,—,—,—,—,—
2017Nova ScotiaSpecialists,2017,Nova Scotia,Specialists,1222,—,—,—,—,—,—
2017NunavutSpecialists,2017,Nunavut,Specialists,2,—,—,—,—,—,—
2017OntarioSpecialists,2017,Ontario,Specialists,15967,—,—,—,—,—,—
2017Prince Edward IslandSpecialists,2017,Prince Edward Island,Specialists,131,—,—,—,—,—,—
2017Provinces/territories with available dataSpecialists,2017,Provinces/territories with available data,Specialists,42452,—,—,—,—,—,—
2017QuebecSpecialists,2017,Quebec,Specialists,10708,—,—,—,—,—,—
2017SaskatchewanSpecialists,2017,Saskatchewan,Specialists,1037,—,—,—,—,—,—
2017YukonSpecialists,2017,Yukon,Specialists,10,—,—,—,—,—,—
2018AlbertaAll physicians,2018,Alberta,All physicians,10806,—,—,—,—,—,—
2018British ColumbiaAll physicians,2018,British Columbia,All physicians,12553,—,—,—,—,—,—
